price,size,location,total_sqft,price_per_sqft,bhk
58.0 L,1 BHK,"Sector 18, Nerul,Navi Mumbai",600 sq.ft,9.67 K/sq.ft,1
1.68 Cr,2 BHK,"Sector 27, Nerul,Navi Mumbai",1350 sq.ft,12.44 K/sq.ft,2
90.0 L,2 BHK,"Sector 6, Nerul,Navi Mumbai",1000 sq.ft,9.00 K/sq.ft,2
3.5 Cr,4 BHK,"Sector 19A, Nerul,Navi Mumbai",5000 sq.ft,7.00 K/sq.ft,4
1.8 Cr,3 BHK,"Sector 22, Nerul,Navi Mumbai",1400 sq.ft,12.86 K/sq.ft,3
1.5 Cr,2 BHK,"Sector 18, Nerul,Navi Mumbai",1000 sq.ft,15.00 K/sq.ft,2
65.0 L,1 BHK,"Sector 10, Nerul,Navi Mumbai",430 sq.ft,15.12 K/sq.ft,1
1.7 Cr,3 BHK,"Sector 4, Nerul,Navi Mumbai",1250 sq.ft,13.60 K/sq.ft,3
1.85 Cr,3 BHK,"Sector 4, Nerul,Navi Mumbai",985 sq.ft,18.78 K/sq.ft,3
90.0 L,1 BHK,"Sector 25, Nerul,Navi Mumbai",650 sq.ft,13.85 K/sq.ft,1
1.8 Cr,3 BHK,"Sector 27, Nerul,Navi Mumbai",1022 sq.ft,17.61 K/sq.ft,3
58.0 L,1 BHK,"Sector 6, Nerul,Navi Mumbai",550 sq.ft,10.54 K/sq.ft,1
65.0 L,1 BHK ,"Sector 22, Nerul,Navi Mumbai",600 sq.ft,10.83 K/sq.ft,1
1.75 Cr,4 BHK,"Sector 4, Nerul,Navi Mumbai",1250 sq.ft,14.00 K/sq.ft,4
40.0 L,0,"Sector 6, Nerul,Navi Mumbai",4000 sq.mt,1.00 K/sq.mt,0
1.75 Cr,3 BHK ,"Sector 21, Nerul,Navi Mumbai",1600 sq.ft,10.94 K/sq.ft,3
63.0 L,1 BHK,"Sector 8, Nerul,Navi Mumbai",500 sq.ft,12.60 K/sq.ft,1
65.0 L,1 BHK,"Sector 11, Nerul,Navi Mumbai",450 sq.ft,14.44 K/sq.ft,1
65.0 L,1 BHK,"Sector 20, Nerul,Navi Mumbai",450 sq.ft,14.44 K/sq.ft,1
2.5 Cr,5 BHK ,"Sector 23, Nerul,Navi Mumbai",1900 sq.ft,13.16 K/sq.ft,5
35.0 L,1 BHK,"Sector 28, Nerul,Navi Mumbai",350 sq.ft,10.00 K/sq.ft,1
